score,file_path,risk_type_hits
7,약관에의한계약_기타계약_표준약관/표준약관_0204.txt,책임 면제:7
7,인사_고용_노무_고용계약/기타고용계약서_0337.txt,책임 면제:3; 과도한 위약금:4
6,약관에의한계약_기타계약_표준약관/표준약관_0356.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0369.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0354.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0350.txt,책임 면제:5; 과도한 위약금:1
6,약관에의한계약_기타계약_표준약관/표준약관_0353.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0484.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0067.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0362.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0239.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0171.txt,책임 면제:6
6,약관에의한계약_기타계약_표준약관/표준약관_0367.txt,책임 면제:6
6,대리점_프랜차이즈_대리점/대리점계약서_0161.txt,책임 면제:5; 일방적 계약 해지:1
6,대리점_프랜차이즈_대리점/대리점계약서_0198.txt,책임 면제:5; 일방적 계약 해지:1
6,인사_고용_노무_고용계약/기타고용계약서_0345.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0343.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0340.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0341.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0334.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0335.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0336.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0040.txt,책임 면제:2; 과도한 위약금:4
6,인사_고용_노무_고용계약/기타고용계약서_0338.txt,책임 면제:2; 과도한 위약금:4
5,약관에의한계약_기타계약_표준약관/표준약관_0237.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0584.txt,책임 면제:4; 과도한 위약금:1
5,약관에의한계약_기타계약_표준약관/표준약관_0393.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0420.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0024.txt,책임 면제:1; 과도한 위약금:4
5,약관에의한계약_기타계약_표준약관/표준약관_0452.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0334.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0093.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0076.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0307.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0339.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0338.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0001.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0229.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0198.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0166.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0416.txt,책임 면제:4; 일방적 계약 해지:1
5,약관에의한계약_기타계약_표준약관/표준약관_0366.txt,책임 면제:5
5,약관에의한계약_기타계약_표준약관/표준약관_0401.txt,책임 면제:2; 과도한 위약금:3
5,대리점_프랜차이즈_대리점/대리점계약서_0022.txt,책임 면제:4; 일방적 계약 해지:1
5,대리점_프랜차이즈_대리점/대리점계약서_0182.txt,책임 면제:4; 일방적 계약 해지:1
5,대리점_프랜차이즈_대리점/대리점계약서_0084.txt,책임 면제:4; 일방적 계약 해지:1
5,대리점_프랜차이즈_대리점/대리점계약서_0075.txt,책임 면제:4; 일방적 계약 해지:1
5,대리점_프랜차이즈_대리점/대리점계약서_0006.txt,책임 면제:4; 일방적 계약 해지:1
5,금전소비대차_채권_채무_금전거래/상환_변제계약서_0077.txt,책임 면제:5
5,금전소비대차_채권_채무_금전거래/상환_변제계약서_0103.txt,책임 면제:5
5,금전소비대차_채권_채무_금전거래/상환_변제계약서_0078.txt,책임 면제:5
5,금전소비대차_채권_채무_금전거래/상환_변제계약서_0030.txt,책임 면제:5
5,인사_고용_노무_고용계약/기타고용계약서_0435.txt,책임 면제:1; 과도한 위약금:4
5,인사_고용_노무_고용계약/기타고용계약서_0431.txt,책임 면제:1; 과도한 위약금:4
5,인사_고용_노무_고용계약/기타고용계약서_0430.txt,책임 면제:1; 과도한 위약금:4
5,인사_고용_노무_고용계약/기타고용계약서_0432.txt,책임 면제:1; 과도한 위약금:4
5,인사_고용_노무_고용계약/기타고용계약서_0041.txt,책임 면제:1; 과도한 위약금:4
5,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0128.txt,책임 면제:3; 과도한 위약금:1; 일방적 계약 해지:1
5,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0261.txt,책임 면제:3; 과도한 위약금:1; 일방적 계약 해지:1
4,약관에의한계약_기타계약_표준약관/표준약관_0550.txt,책임 면제:3; 과도한 위약금:1
4,약관에의한계약_기타계약_표준약관/표준약관_0418.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0036.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0347.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0322.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0087.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0472.txt,과도한 위약금:4
4,약관에의한계약_기타계약_표준약관/표준약관_0116.txt,과도한 위약금:4
4,약관에의한계약_기타계약_표준약관/표준약관_0103.txt,과도한 위약금:4
4,약관에의한계약_기타계약_표준약관/표준약관_0464.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0310.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0377.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0175.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0174.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0376.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0228.txt,책임 면제:4
4,약관에의한계약_기타계약_표준약관/표준약관_0349.txt,책임 면제:3; 과도한 위약금:1
4,약관에의한계약_기타계약_표준약관/표준약관_0600.txt,책임 면제:3; 과도한 위약금:1
4,약관에의한계약_기타계약_표준약관/표준약관_0602.txt,책임 면제:4
4,대리점_프랜차이즈_대리점/대리점계약서_0040.txt,책임 면제:4
4,대리점_프랜차이즈_대리점/대리점계약서_0095.txt,책임 면제:4
4,대리점_프랜차이즈_대리점/대리점계약서_0202.txt,책임 면제:4
4,대리점_프랜차이즈_대리점/대리점계약서_0159.txt,책임 면제:4
4,인사_고용_노무_고용계약/기타고용계약서_0230.txt,책임 면제:3; 일방적 계약 해지:1
4,인사_고용_노무_고용계약/기타고용계약서_0187.txt,과도한 위약금:4
4,인사_고용_노무_고용계약/기타고용계약서_0233.txt,책임 면제:3; 일방적 계약 해지:1
4,인사_고용_노무_고용계약/기타고용계약서_0236.txt,책임 면제:3; 일방적 계약 해지:1
4,인사_고용_노무_고용계약/기타고용계약서_0181.txt,책임 면제:1; 과도한 위약금:2; 불명확한 수수료·이자 조건:1
4,인사_고용_노무_고용계약/기타고용계약서_0401.txt,책임 면제:3; 일방적 계약 해지:1
4,인사_고용_노무_고용계약/기타고용계약서_0410.txt,책임 면제:4
4,인사_고용_노무_고용계약/기타고용계약서_0001.txt,책임 면제:3; 일방적 계약 해지:1
4,인사_고용_노무_고용계약/기타고용계약서_0406.txt,책임 면제:3; 일방적 계약 해지:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0026.txt,책임 면제:3; 과도한 위약금:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0127.txt,책임 면제:3; 과도한 위약금:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0078.txt,책임 면제:1; 과도한 위약금:3
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0333.txt,책임 면제:3; 과도한 위약금:1
